"Downloaded on",03/19/2021,"13:51:33 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%5D%2C%22bill-status%22%3A%22law%22%7D&searchResultViewType=expanded

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"H.R. 1319",https://www.congress.gov/bill/117th-congress/house-bill/1319,"117th Congress (2021-2022)",,"American Rescue Plan Act of 2021","Rep. Yarmuth, John A. [D-KY-3]",02/24/2021,,,,0,"House - Budget",03/11/2021,"Became Public Law No: 117-2."
"H.R. 335",https://www.congress.gov/bill/117th-congress/house-bill/335,"117th Congress (2021-2022)",,"To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.","Rep. Smith, Adam [D-WA-9]",01/15/2021,,,,0,"House - Armed Services",01/22/2021,"Became Public Law No: 117-1."
"H.R. 8906",https://www.congress.gov/bill/116th-congress/house-bill/8906,"116th Congress (2019-2020)",,"Lifespan Respite Care Reauthorization Act of 2020","Rep. Langevin, James R. [D-RI-2]",12/09/2020,,,,1,"House - Energy and Commerce",01/05/2021,"Became Public Law No: 116-324."
"H.R. 8900",https://www.congress.gov/bill/116th-congress/house-bill/8900,"116th Congress (2019-2020)",,"Further Continuing Appropriations Act, 2021, and Other Extensions Act","Rep. Lowey, Nita M. [D-NY-17]",12/08/2020,,,,0,"House - Appropriations, Budget",12/11/2020,"Became Public Law No: 116-215."
"H.R. 8810",https://www.congress.gov/bill/116th-congress/house-bill/8810,"116th Congress (2019-2020)",,"National Landslide Preparedness Act","Rep. DelBene, Suzan K. [D-WA-1]",11/24/2020,,,,6,"House - Natural Resources, Science, Space, and Technology",01/05/2021,"Became Public Law No: 116-323."
"H.R. 8611",https://www.congress.gov/bill/116th-congress/house-bill/8611,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 4755 Southeast Dixie Highway in Port Salerno, Florida, as the ""Joseph Bullock Post Office Building"".","Rep. Mast, Brian J. [R-FL-18]",10/16/2020,,,,26,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",01/05/2021,"Became Public Law No: 116-322."
"H.R. 8472",https://www.congress.gov/bill/116th-congress/house-bill/8472,"116th Congress (2019-2020)",,"Impact Aid Coronavirus Relief Act","Rep. Courtney, Joe [D-CT-2]",10/01/2020,,,,2,"House - Education and Labor",12/04/2020,"Became Public Law No: 116-211."
"H.R. 8354",https://www.congress.gov/bill/116th-congress/house-bill/8354,"116th Congress (2019-2020)",,"Servicemembers and Veterans Initiative Act of 2020","Rep. Escobar, Veronica [D-TX-16]",09/23/2020,,,,7,"House - Judiciary",01/05/2021,"Became Public Law No: 116-288."
"H.R. 8337",https://www.congress.gov/bill/116th-congress/house-bill/8337,"116th Congress (2019-2020)",,"Continuing Appropriations Act, 2021 and Other Extensions Act","Rep. Lowey, Nita M. [D-NY-17]",09/22/2020,,,,0,"House - Appropriations, Budget",10/01/2020,"Became Public Law No: 116-159."
"H.R. 8276",https://www.congress.gov/bill/116th-congress/house-bill/8276,"116th Congress (2019-2020)",,"To authorize the President to posthumously award the Medal of Honor to Alwyn C. Cashe for acts of valor during Operation Iraqi Freedom.","Rep. Murphy, Stephanie N. [D-FL-7]",09/16/2020,,,,2,"House - Armed Services",12/04/2020,"Became Public Law No: 116-210."
"H.R. 8247",https://www.congress.gov/bill/116th-congress/house-bill/8247,"116th Congress (2019-2020)",,"Veterans COMPACT Act of 2020","Rep. Takano, Mark [D-CA-41]",09/14/2020,,,,0,"House - Veterans' Affairs",12/05/2020,"Became Public Law No: 116-214."
"H.R. 7898",https://www.congress.gov/bill/116th-congress/house-bill/7898,"116th Congress (2019-2020)",,"To amend the Health Information Technology for Economic and Clinical Health Act to require the Secretary of Health and Human Services to consider certain recognized security practices of covered entities and business associates when making certain determinations, and for other purposes.","Rep. Burgess, Michael C. [R-TX-26]",07/31/2020,,,,2,"House - Energy and Commerce",01/05/2021,"Became Public Law No: 116-321."
"H.R. 7810",https://www.congress.gov/bill/116th-congress/house-bill/7810,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 3519 East Walnut Street in Pearland, Texas, as the ""Tom Reid Post Office Building"".","Rep. Olson, Pete [R-TX-22]",07/29/2020,,,,34,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",01/05/2021,"Became Public Law No: 116-320."
"H.R. 7502",https://www.congress.gov/bill/116th-congress/house-bill/7502,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 101 South 16th Street in Clarinda, Iowa, as the ""Jessie Field Shambaugh Post Office Building"".","Rep. Axne, Cynthia [D-IA-3]",07/09/2020,,,,8,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",01/05/2021,"Became Public Law No: 116-319."
"H.R. 7460",https://www.congress.gov/bill/116th-congress/house-bill/7460,"116th Congress (2019-2020)",,"Peace Corps Commemorative Work Extension Act","Rep. Kennedy, Joseph P., III [D-MA-4]",07/01/2020,,,,1,"House - Natural Resources",01/05/2021,"Became Public Law No: 116-318."
"H.R. 7440",https://www.congress.gov/bill/116th-congress/house-bill/7440,"116th Congress (2019-2020)",,"Hong Kong Autonomy Act","Rep. Sherman, Brad [D-CA-30]",07/01/2020,,,,11,"House - Foreign Affairs, Judiciary, Financial Services, Ways and Means, Rules",07/14/2020,"Became Public Law No: 116-149."
"H.R. 7347",https://www.congress.gov/bill/116th-congress/house-bill/7347,"116th Congress (2019-2020)",,"To designate the medical center of the Department of Veterans Affairs in Ann Arbor, Michigan, as the ""Lieutenant Colonel Charles S. Kettles Department of Veterans Affairs Medical Center"".","Rep. Dingell, Debbie [D-MI-12]",06/25/2020,,,,13,"House - Veterans' Affairs | Senate - Veterans' Affairs",01/05/2021,"Became Public Law No: 116-317."
"H.R. 7259",https://www.congress.gov/bill/116th-congress/house-bill/7259,"116th Congress (2019-2020)",,"Patents for Humanity Program Improvement Act","Rep. McBath, Lucy [D-GA-6]",06/18/2020,,,,3,"House - Judiciary",01/05/2021,"Became Public Law No: 116-316."
"H.R. 7105",https://www.congress.gov/bill/116th-congress/house-bill/7105,"116th Congress (2019-2020)",,"Johnny Isakson and David P. Roe, M.D. Veterans Health Care and Benefits Improvement Act of 2020","Rep. Levin, Mike [D-CA-49]",06/04/2020,,,,10,"House - Veterans' Affairs, Budget | Senate - Veterans' Affairs",01/05/2021,"Became Public Law No: 116-315."
"H.R. 7088",https://www.congress.gov/bill/116th-congress/house-bill/7088,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 111 James Street in Reidsville, Georgia, as the ""Senator Jack Hill Post Office Building"".","Rep. Carter, Earl L. ""Buddy"" [R-GA-1]",06/04/2020,,,,13,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",01/05/2021,"Became Public Law No: 116-314."
"H.R. 7010",https://www.congress.gov/bill/116th-congress/house-bill/7010,"116th Congress (2019-2020)",,"Paycheck Protection Program Flexibility Act of 2020","Rep. Phillips, Dean [D-MN-3]",05/26/2020,,,,86,"House - Small Business, Ways and Means",06/05/2020,"Became Public Law No: 116-142."
"H.R. 6535",https://www.congress.gov/bill/116th-congress/house-bill/6535,"116th Congress (2019-2020)",,"To deem an urban Indian organization and employees thereof to be a part of the Public Health Service for the purposes of certain claims for personal injury, and for other purposes.","Rep. Gallego, Ruben [D-AZ-7]",04/17/2020,,,,10,"House - Natural Resources, Energy and Commerce, Judiciary",01/05/2021,"Became Public Law No: 116-313."
"H.R. 6435",https://www.congress.gov/bill/116th-congress/house-bill/6435,"116th Congress (2019-2020)",,"Combating Pandemic Scams Act of 2020","Rep. Carter, Earl L. ""Buddy"" [R-GA-1]",04/03/2020,,,,5,"House - Energy and Commerce | Senate - Commerce, Science, and Transportation",01/05/2021,"Became Public Law No: 116-287."
"H.R. 6418",https://www.congress.gov/bill/116th-congress/house-bill/6418,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 509 Fairhope Avenue in Fairhope, Alabama, as the ""William 'Jack' Jackson Edwards III Post Office Building"".","Rep. Byrne, Bradley [R-AL-1]",03/31/2020,,,,6,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",01/05/2021,"Became Public Law No: 116-312."
"H.R. 6395",https://www.congress.gov/bill/116th-congress/house-bill/6395,"116th Congress (2019-2020)",,"National Defense Authorization Act for Fiscal Year 2021","Rep. Smith, Adam [D-WA-9]",03/26/2020,,,,1,"House - Armed Services",01/01/2021,"Became Public Law No: 116-283."
"H.R. 6322",https://www.congress.gov/bill/116th-congress/house-bill/6322,"116th Congress (2019-2020)",,"Student Veteran Coronavirus Response Act of 2020","Rep. Takano, Mark [D-CA-41]",03/23/2020,,,,49,"House - Veterans' Affairs, Armed Services",04/28/2020,"Became Public Law No: 116-140."
"H.R. 6237",https://www.congress.gov/bill/116th-congress/house-bill/6237,"116th Congress (2019-2020)",,"PRC for Native Veterans Act","Rep. Gallego, Ruben [D-AZ-7]",03/12/2020,,,,4,"House - Natural Resources, Energy and Commerce | Senate - Indian Affairs",01/05/2021,"Became Public Law No: 116-311."
"H.R. 6201",https://www.congress.gov/bill/116th-congress/house-bill/6201,"116th Congress (2019-2020)",,"Families First Coronavirus Response Act","Rep. Lowey, Nita M. [D-NY-17]",03/11/2020,,,,6,"House - Appropriations, Budget, Ways and Means",03/18/2020,"Became Public Law No: 116-127."
"H.R. 6192",https://www.congress.gov/bill/116th-congress/house-bill/6192,"116th Congress (2019-2020)",,"1921 Silver Dollar Coin Anniversary Act","Rep. Barr, Andy [R-KY-6]",03/11/2020,,,,21,"House - Financial Services | Senate - Banking, Housing, and Urban Affairs",01/05/2021,"Became Public Law No: 116-286."
"H.R. 6168",https://www.congress.gov/bill/116th-congress/house-bill/6168,"116th Congress (2019-2020)",,"Veterans' Compensation Cost-of-Living Adjustment Act of 2020","Rep. Luria, Elaine G. [D-VA-2]",03/10/2020,,,,4,"House - Veterans' Affairs | Senate - Veterans' Affairs",10/20/2020,"Became Public Law No: 116-178."
"H.R. 6161",https://www.congress.gov/bill/116th-congress/house-bill/6161,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 1585 Yanceyville Street, Greensboro, North Carolina, as the ""J. Howard Coble Post Office Building"".","Rep. Walker, Mark [R-NC-6]",03/09/2020,,,,11,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",01/05/2021,"Became Public Law No: 116-310."
"H.R. 6100",https://www.congress.gov/bill/116th-congress/house-bill/6100,"116th Congress (2019-2020)",,"STOP FGM Act of 2020","Rep. Jackson Lee, Sheila [D-TX-18]",03/05/2020,,,,2,"House - Judiciary | Senate - Judiciary",01/05/2021,"Became Public Law No: 116-309."
"H.R. 6074",https://www.congress.gov/bill/116th-congress/house-bill/6074,"116th Congress (2019-2020)",,"Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020","Rep. Lowey, Nita M. [D-NY-17]",03/04/2020,,,,0,"House - Appropriations, Budget",03/06/2020,"Became Public Law No: 116-123."
"H.R. 6016",https://www.congress.gov/bill/116th-congress/house-bill/6016,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 14955 West Bell Road in Surprise, Arizona, as the ""Marc Lee Memorial Post Office Building"".","Rep. Lesko, Debbie [R-AZ-8]",02/28/2020,,,,8,"House - Oversight and Reform",01/05/2021,"Became Public Law No: 116-308."
"H.R. 5983",https://www.congress.gov/bill/116th-congress/house-bill/5983,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 4150 Chicago Avenue in Riverside, California, as the ""Woodie Rucker-Hughes Post Office Building"".","Rep. Takano, Mark [D-CA-41]",02/26/2020,,,,50,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",01/05/2021,"Became Public Law No: 116-307."
"H.R. 5972",https://www.congress.gov/bill/116th-congress/house-bill/5972,"116th Congress (2019-2020)",,"Mary Ann Shadd Cary Post Office Dedication Act","Rep. Blunt Rochester, Lisa [D-DE-At Large]",02/26/2020,,,,17,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",01/05/2021,"Became Public Law No: 116-306."
"H.R. 5954",https://www.congress.gov/bill/116th-congress/house-bill/5954,"116th Congress (2019-2020)",,"To designate the facility of the United States Postal Service located at 108 West Maple Street in Holly, Michigan, as the ""Holly Veterans Memorial Post Office"".","Rep. Slotkin, Elissa [D-MI-8]",02/25/2020,,,,13,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",12/21/2020,"Became Public Law No: 116-244."
"H.R. 5901",https://www.congress.gov/bill/116th-congress/house-bill/5901,"116th Congress (2019-2020)",,"Information Technology Modernization Centers of Excellence Program Act","Rep. Khanna, Ro [D-CA-17]",02/13/2020,,,,3,"House - Oversight and Reform",12/03/2020,"Became Public Law No: 116-194."
"H.R. 5852",https://www.congress.gov/bill/116th-congress/house-bill/5852,"116th Congress (2019-2020)",,"Weir Farm National Historical Park Redesignation Act","Rep. Himes, James A. [D-CT-4]",02/11/2020,,,,0,"House - Natural Resources",01/05/2021,"Became Public Law No: 116-305."
"H.R. 5671",https://www.congress.gov/bill/116th-congress/house-bill/5671,"116th Congress (2019-2020)",,"Merchant Mariners of World War II Congressional Gold Medal Act of 2020","Rep. Garamendi, John [D-CA-3]",01/24/2020,,,,2,"House - Financial Services | Senate - Banking, Housing, and Urban Affairs",03/13/2020,"Became Public Law No: 116-125."
"H.R. 5663",https://www.congress.gov/bill/116th-congress/house-bill/5663,"116th Congress (2019-2020)",,"Safeguarding Therapeutics Act","Rep. Guthrie, Brett [R-KY-2]",01/21/2020,,,,2,"House - Energy and Commerce | Senate - Health, Education, Labor, and Pensions",01/05/2021,"Became Public Law No: 116-304."
